,Product Name,Sales Volume,Rating,Number of Review,Price
0,"Lenovo  - IdeaPad 5 Slim 15IIL  ( Intel i5-1135G7 / 16GB RAM / 256GB SSD + 1TB HDD /  15.6"" FHD IPS )【Laptop】",10+ Sold,5,(1),"$ 5,998.00"
1,Lenovo - ThinkPad L380 i5 8G Ultraportable High Speed Business Notebook (20M5A007HH) - High Quality Demo Unit,10+ Sold,5,(2),"$ 4,599.00"
2,ASUS - AX5400雙頻 WiFi 6 電競級路由器 (RT-AX82U)｜香港行貨，三年保養,10+ Sold,Null,Null,"$ 1,799.00"
3,"ACER - [Intel EVO] Swift 5 SF514-55TA-59VX  ( i5 1135G7/ 8GB RAM/ 512 GB SSD/  14"" FHD Touch IPS) Laptop",Null,Null,Null,"$ 6,998.00"
4,Huawei - HONOR Router 3 國際版｜Wi-Fi 6 Plus｜3000Mbps｜Easy Setup,200+ Sold,4,(8),$ 308.00
5,i-Frontier - Portable Foldable Notebook Storage Stand Laptop Tablet Stand Foldable Computer Stand - 10 Levels,500+ Sold,4.3,(11),$ 65.00
6,"MSI - GF65 Thin 10UE ( i7-10750H / 16GB RAM / 1TB SSD / RTX3060 / 15.6"" 144Hz ) Laptop",Null,5,(2),"$ 10,499.00"
7,Chuwi - UBook 輕薄便攜平板電腦｜送專用鍵盤｜8GB RAM / 256GB ROM,Null,4,(1),"$ 2,499.00"
8,ASUS - AX3000雙頻 WiFi 6 軍工級電競路由器 (TUF-AX3000)｜香港行貨，三年保養,Null,Null,Null,"$ 1,499.00"
9,"ACER - Aspire Nitro AN515-55 (15.6"", i7-10750H, GTX1660Ti, 16GB RAM, 512GB SSD, Win10 Home) AN515-55-7923",Null,5,(2),"$ 10,498.00"
10,"Fujisu - Lifebook U7310 日本製 13.3"" 全高清 Notebook i7-10510U 8GB 512GB PCIe SSD Win10 Home 3年保養",Null,5,(2),"$ 8,298.00"
11,"ACER - Swift SF114-33 (14"", Celeron N4020, 8GB RAM, 256GB SSD, Win10 Home) SF114-33-C1AF",Null,Null,Null,"$ 4,398.00"
12,"Lenovo - IdeaPad 510S 13.3"" i5 SSD Light with high-performing laptop (80V0000YHH) - High Quality Demo Unit",Null,5,(2),"$ 3,299.00"
13,ASUS - AX1800雙頻 WiFi 6 路由器 (RT-AX56U)｜香港行貨，三年保養,10+ Sold,Null,Null,$ 999.00
14,Dell - (InStock)(Fast Delivery)11th CPU i5-1135G7 512GB SSD - Dell Inspiron 3501 Ins3501-R1500,10+ Sold,4.6,(12),"$ 5,699.00"
15,"Fujitsu - Lifebook U9311 日本制造13.3"" Touch FHD IPS  925克 手提電腦 i7-1185G7 32GB 2TB PCIe SSD LTE Win10 Pro",Null,Null,Null,"$ 20,980.00"
16,ASUS - AX1800雙頻 WiFi 6 路由器 (RT-AX55) 白色｜香港行貨，三年保養,10+ Sold,Null,Null,$ 799.00
