,Product Name,Sales Volume,Rating,Number of Review,Price
0,全城熱賣 - [3 Colors]INTELLIGENT BODY FAT SCALE  ELECTRONIC SCALE  HOUSEHOLD SCALE,100+ Sold,4.5,(6),$ 95.80
1,"Samsung - Galaxy Watch3 Stainless Smartwatch (45mm, Bluetooth) - Mystic Black",30+ Sold,5,(3),"$ 3,298.00"
2,"Samsung - Galaxy Watch3 Stainless Smartwatch (41mm, Bluetooth) - Mystic Silver",10+ Sold,3,(1),"$ 3,098.00"
3,SMC - New Three-in-one wireless charger for Airpods for iPhone mobile phones and watches Qi certified fast charge wireless charge,70+ Sold,3.7,(4),$ 198.80
4,Fitbit - Charge 4(NFC)Black FB417BKBK-FRCJK,100+ Sold,4,(5),$ 929.00
5,MI - Xiaomi Smart Bracelet 5 Dynamic Color Screen Women's Health 24-hour Heart Rate  (parallel import),200+ Sold,4.8,(6),$ 208.00
6,Huawei - HONOR Band 6 Black,100+ Sold,4,(6),$ 329.00
7,Xiaomi - [Authorized Dealer] Mi Smart Band 6  All-new women's health tracking  24-hour heart rate monitoring,50+ Sold,5,(1),$ 330.00
8,Fitbit - SENSE Smartwatch (Black) FB512BKBK-FRCJK,60+ Sold,Null,Null,"$ 2,099.00"
9,MI - MI Band 6 - HK Offical Product,60+ Sold,4.3,(3),$ 299.00
10,Fitbit - Versa 2(NFC)PETAL / ROSE GOLD ALUMINIUM FB507RGPK-FRCJK,70+ Sold,Null,Null,"$ 1,138.00"
11,ASUS 華碩 - VivoWatch SP 智慧型血壓/指尖血氧測量/心率手錶,Null,5,(3),"$ 2,199.00"
12,Fitbit - SENSE Smartwatch White FB512GLWT-FRCJK,20+ Sold,Null,Null,"$ 2,099.00"
13,Amazfit - T-Rex Pro - Steel Blue,20+ Sold,4.6,(3),"$ 1,298.00"
14,"Samsung - Galaxy Watch Active 2 Smartwatch (40mm, Bluetooth Version, Aqua Black) (Parallel imported)",20+ Sold,5,(2),"$ 1,420.00"
15,SMC - MAGSAFE 20W Magnetic Wireless Charger For iPhone 12 Series / Apple Watch / Airpods,20+ Sold,5,(1),$ 338.80
16,Fitbit - Versa 3 GPS Smart Watch[Midnight/Soft Gold Aluminum],10+ Sold,4,(1),"$ 1,598.00"
17,Fitbit - Luxe Fitness & wellness tracker Lunar White / Soft Gold Stainless Steel FB422GLWT-FRCJK,10+ Sold,Null,Null,"$ 1,198.00"
18,Amazfit - T-Rex Pro Military-grade Toughness GPS Sport Watch,30+ Sold,5,(1),"$ 1,168.00"
19,Xiaomi - Xiaomi Mi Smart Band 6 (Black),30+ Sold,4,(1),$ 299.00
20,JTSK - Japan JTSK 1.39 inch AMOLED video screen wireless charging Bluetooth call smart watch,Null,5,(1),$ 998.00
21,"Amazfit - GTR 2 Smartwatch, Aluminium Alloy",30+ Sold,5,(1),"$ 1,098.00"
22,Fitbit - Versa 3 HEALTH AND FITNESS SMARTWATCH + GPS Onyx Black/Black FB511BKBK-FRCJK/L,30+ Sold,4,(1),"$ 1,699.00"
23,Fitbit - Versa 3 GPS Smart Watch[Black/Black Aluminum],10+ Sold,Null,Null,"$ 1,598.00"
24,JOYROOM - IW001S apple Watch Charger for Series 1-4,100+ Sold,4,(5),$ 80.00
25,Garmin - Garmin Forerunner 245 Music Traditional Chinese,Null,Null,Null,"$ 2,699.00"
26,Xiaomi Youpin - MI YOUPIN  Haylou Smart Watch2  LS02 BLACK -parallel import,100+ Sold,4.3,(9),$ 188.00
27,Fitbit - Charge 4(NFC)Black/Navy FB417BKNV/L,40+ Sold,4,(1),$ 929.00
28,Fitbit - Luxe Fitness & wellness tracker gorjana for Special Edition Peony Classic Band FB422GLPK-FRCJK,Null,Null,Null,"$ 1,698.00"
29,Honor - Honor Magic Watch 2 (46mm) - Charcoal Black｜14天長續航｜24小時心率監測,10+ Sold,4,(1),$ 949.00
30,Belkin - Valet™ Apple Watch + iPhone充電座【獲Apple認證，品質及安全保證】,10+ Sold,5,(1),$ 499.00
31,Garmin - Garmin Instinct Solar Traditional Chinese 香港行貨,Null,5,(1),"$ 2,799.00"
32,Fitbit - Inspire 2 FITNESS TRACKER Black/Black FB418BKBK-FRCJK/L,100+ Sold,3.8,(6),$ 799.00
33,Xiaomi Youpin - MI YouPin  Haylou Solar LS05-1 BLACK -parallel import,60+ Sold,5,(1),$ 249.00
34,Fitbit - Sense Advanced Health Smartwatch[Carbon/Graphite Stainless Steel],Null,Null,Null,"$ 2,088.00"
35,ASUS - VivoWatch SP 智慧手錶｜Pulse O2運動血氧、GPS、高度氣壓計｜【台灣制造】,Null,Null,Null,"$ 2,099.00"
36,JTSK - Japan JTSK X89 Smart HD Big Screen Android Watch Phone (16G),Null,Null,Null,$ 948.00
37,Fitbit - Inspire 2 fitness trackers wristband[Black],20+ Sold,5,(2),$ 780.00
38,"Samsung - Galaxy Watch Active 2 Smartwatch (44mm, Bluetooth version, Pink Gold) (Parallel imported)",Null,Null,Null,"$ 1,420.00"
39,SUUNTO - 9 Peak Ultra Thin Sport GPS SmartWatch [Chinese Support],Null,Null,Null,"$ 5,880.00"
40,citykeys - Apple Watch Adult Octopus Smart Strap (Suitable for 38mm / 40mm / 42mm / 44mm),30+ Sold,3,(1),$ 448.00
41,Amazfit - T-Rex Pro - Meteorite Black,20+ Sold,5,(2),"$ 1,298.00"
42,Belkin - PowerHouse™ Apple Watch 與 iPhone 專用充電座 - 黑色｜【獲Apple認證，品質及安全保證】,30+ Sold,5,(3),$ 448.00
43,Fitbit - Charge 4(NFC)Rosewood FB417BYBY-FRCJK,40+ Sold,Null,Null,$ 929.00
44,Fitbit - Versa 2(NFC)BLACK / CARBON ALUMINIUM FB507BKBK-FRCJK,80+ Sold,5,(2),"$ 1,138.00"
45,Xiaomi - Mi Watch SPORT Black,40+ Sold,4,(1),$ 899.00
46,Xiaomi - Mibro Air Smart Watch｜PPG光學心律傳感器｜12種專業運動模式｜金屬超薄機身｜IP68防水,30+ Sold,3.5,(2),$ 268.00
47,Fitbit - Luxe fitness & wellness wristband,Null,Null,Null,"$ 1,180.00"
48,Fitbit - Luxe Fitness & wellness tracker Black / Graphite Stainless Steel FB422BKBK-FRCJK,10+ Sold,Null,Null,"$ 1,198.00"
49,Xiaomi - 小米手錶 超值版 - 象牙白｜香港小米行貨,30+ Sold,4,(3),$ 429.00
50,Amazfit - T-REX PRO WHITE,Null,Null,Null,"$ 1,168.00"
51,Xiaomi - Mi Smart Band6 Black,10+ Sold,Null,Null,$ 299.00
52,Xiaomi - Mi Watch Lite,60+ Sold,5,(1),$ 429.00
53,Casio - Electronic Watches - MQ-24-1B2LDF  (Parallel Import Goods),100+ Sold,4.6,(9),$ 90.00
54,Fitbit - Versa 3 HEALTH AND FITNESS SMARTWATCH + GPS Pale Yellow Gold/Olive Green FB511GLOL,Null,Null,Null,"$ 1,699.00"
55,Diesel - Full Guard 2.5 gen 4 Smartwatch DZT2010 [適用於Android],Null,Null,Null,$ 698.00
56,Casio - Casio - Electronic Watches - LRW-200H-4B2 (Parallel Import Goods),50+ Sold,4,(1),$ 150.00
57,TSK - Japan TSK smart watch real-time body temperature monitoring heart rate and blood pressure multi-function smart bracelet,10+ Sold,Null,Null,$ 668.00
58,SUUNTO - 7 Versatile GPS sports watch and smart watch in one with Wear OS[Graphite Copper],Null,5,(1),"$ 3,680.00"
59,SUUNTO - 7 Versatile GPS sports watch and smart watch in one with Wear OS[Sandstone Rosegold],Null,Null,Null,"$ 3,680.00"
60,Huawei - Band 6 Smart Watch [4 Colors],30+ Sold,5,(3),$ 348.00
61,Casio - Casio - Electronic Watches - LRW-200H-7B (Parallel Import Goods),40+ Sold,4.6,(3),$ 150.00
62,Amazfit - 香港行貨 T Rex Pro Military Grade Rugged GPS Quad Core 10 ATM Waterproof Sports Smart Watch,Null,Null,Null,"$ 1,168.00"
