,Product Name,Sales Volume,Rating,Number of Review,Price
0,Xiaomi - [香港行貨] 小米 體脂計2 體脂磅 電子磅,500+ Sold,4.2,(13),$ 159.00
1,Philips - Sonicare S (4pcs) Sensitive Standard brush heads HX6054 / 07,100+ Sold,5,(1),$ 258.00
2,"PIPO - N2 4G Tablet - 10.1"" / 八核心 / 4+64GB / Andorid 9.0 / 可打電話",100+ Sold,4.1,(11),$ 999.00
3,Lenovo - Tab V7 超高清大螢幕智能電話｜【送EDIFIER - W200BT 藍芽5.0 耳機】｜前置雙立體聲喇叭｜杜比音效技術｜5180mAh 大電量,Null,5,(1),"$ 1,380.00"
4,AMAZON - 【Parallel Good WTY.30days】Black - (32GB ads ver.) 2018 Waterproof Kindle Paperwhite Wi-Fi E-Reader,"1,000+ Sold",4.5,(79),"$ 1,088.00"
5,"日本暢銷 - Upgraded Phone Stand Angle Adjustable Cell Phone Stand For Desk (White, 1pc) tablet iPad  Zoom",100+ Sold,4.8,(6),$ 48.00
6,"Samsung - Galaxy Tab A 8.0"" Mobile Tablet (LTE)",30+ Sold,4.5,(2),"$ 1,388.00"
7,"日本暢銷 - Upgraded Phone Stand Angle Adjustable Cell Phone Stand For Desk (Black, 1pc) tablet iPad  Zoom",100+ Sold,4,(4),$ 48.00
8,i-Frontier - Portable Foldable Notebook Storage Stand Laptop Tablet Stand Foldable Computer Stand - 10 Levels,500+ Sold,4.3,(11),$ 65.00
9,"全城熱賣 - Adjustable Cell Phone Stand For Desk (White, 1pc) tablet iPad  Zoom Phone Stand Angle",100+ Sold,4.5,(2),$ 38.00
10,Chuwi - UBook 輕薄便攜平板電腦｜送專用鍵盤｜8GB RAM / 256GB ROM,Null,4,(1),"$ 2,499.00"
11,Samsung - Galaxy Tab S7 FE 5G Tablet,Null,Null,Null,"$ 5,388.00"
12,Samsung - (GRAY)GALAXY TAB A7 T500 WIFI 3GB RAM 64GB ROM,70+ Sold,4.8,(13),"$ 1,788.00"
13,Samsung - (SILVER)GALAXY TAB A7 T500 WIFI 3GB RAM 64GB ROM,40+ Sold,5,(5),"$ 1,788.00"
14,"Philips - Multigroom  MG5720 9-in-1, Face and Hair Trimmer",100+ Sold,Null,Null,$ 368.00
15,AMAZON - 【Parallel Goods WTY.30days】Navy - (32GB ads ver.) 2018 Waterproof Kindle Paperwhite Wi-Fi E-Reader,50+ Sold,5,(1),"$ 1,088.00"
16,"AMAZON - 【Parallel Goods WTY.60days】Black - Fire HD 8""inch high definition Tablet(32GB Storage)(841667187358)",40+ Sold,4.6,(5),$ 728.00
17,"AMAZON KINDLE  - Amazon Kindle 10th 6"" 167PPI  WIFI 8GB BLACK -(parallel import 30-day SHOP Warranty)",100+ Sold,Null,Null,$ 660.00
18,ASK - 938SP 10 inch 4G calling tablet,20+ Sold,3.6,(3),"$ 1,280.00"
19,AMAZON - 【Parallel Goods WTY.30days】Black - (8GB ads ver.) 2018 Waterproof Kindle Paperwhite Wi-Fi E-Reader,"1,000+ Sold",4.5,(67),$ 948.00
20,Verbatim - 20W 2 port PD & QC 3.0 USB Charger,80+ Sold,Null,Null,$ 98.00
21,Samsung - Galaxy Tab A7 3GB+64GB WiFi Tablet [2 Colors],60+ Sold,4.2,(4),"$ 1,788.00"
22,"Teclast - M40｜6GB RAM + 128GB ROM｜T618高效能處理器｜4G-LTE｜10.1"" IPS｜Android 10",20+ Sold,4,(2),"$ 1,399.00"
23,Lenovo - Lenovo Tab P11 Pro LTE,Null,5,(1),"$ 3,298.00"
